item_group
111
112
113
114
115
116
117
118
119
121
122
199
211
212
213
221
311
312
313
314
321
322
411
421
431
432
440
441
442
443
444
451
452
453
454
511
512
513
521
531
532
533
541
551
552
561
562
611
612
613
621
622
623
631
711
712
713
721
722
723
724
731
732
733
734
736
811
821
831
911
912
913
914
921
922
923
931
932
933
934
935
941
942
943
951
952
953
954
961
1011
1021
1041
1051
1111
1112
1121
1211
1212
1213
1231
1232
1241
1251
1252
1253
1254
1255
1262
1271
1311
5011
5012
5021
5022
5023
5024
5031
5032
5033
5041
5042
5051
5060
5120
5130
5140
5152
5173
5174
5180
5181
5191
5192
5193
5194
5195
5196
5197
5211
5212
5213
5214
5215
5222
5223
5224
5225
5231
5232
5242
5250
5261
5262
5263
5265
5266
5267
5271
5272
5312
5313
5320
5330
5340
6631
7010
7011
7012
7020
7021
7031
7032
7040
7041
7050
7051
7070
7071
7080
7081
7090
7091
8888
9911
